elapsed_sec,cumulative,interval_rate
0.102720,1348478,14778947.37
0.102773,1349160,12747663.55
0.102826,1349832,12912895.60
0.103165,1351573,5124356.14
0.103206,1352215,15674210.80
0.103264,1353189,16927060.70
0.103507,1354309,4610628.32
0.103557,1355169,17185564.13
0.103763,1356768,7762135.92
0.103871,1359185,22242467.75
0.104047,1360017,4727272.73
0.104084,1360601,15891156.46
0.104124,1361233,15750778.82
0.104194,1362662,20573287.84
0.104252,1363830,19994522.05
0.104420,1364809,5843310.93
0.104458,1365478,17509422.11
0.104500,1366132,15648928.02
0.104604,1367232,10522086.82
0.104642,1367889,17500865.72
0.104678,1368309,11666666.67
0.104856,1369378,6012643.99
0.104914,1370445,18265231.01
0.104952,1371144,18516556.29
0.105017,1372188,16082321.77
0.105195,1373142,5333333.33
0.105254,1373984,14423982.87
0.105284,1374298,10480990.69
0.105320,1374641,9451379.13
0.105357,1375195,15040451.76
0.105402,1375878,15248599.05
0.105473,1377498,22670342.43
0.105644,1378394,5246178.08
0.105680,1379008,17214792.39
0.105784,1381271,21794612.50
0.105954,1382067,4672046.96
0.106060,1384367,21715116.55
0.106132,1385945,21853534.23
0.106411,1389432,12496326.72
0.106642,1391846,10459634.65
0.106728,1393703,21645627.16
0.106802,1395224,20324985.97
0.106988,1396745,8192129.95
0.107091,1398803,20069825.05
0.107277,1400023,6547417.80
0.107331,1400982,17731676.65
0.107377,1401873,19299917.69
0.107420,1402684,18823693.25
0.107497,1404321,21248426.16
0.107657,1405117,4997112.22
0.107732,1406715,21294741.61
0.107805,1408242,20740237.69
0.107962,1409061,5237410.07
0.108032,1410644,22440850.00
0.108088,1411785,20314419.50
0.108145,1412920,20162722.94
0.108332,1414319,7453065.40
0.108402,1415777,20878381.28
0.108490,1417702,22041816.47
0.108667,1419068,7686767.06
0.108735,1420458,20428558.83
0.108785,1421522,21567713.30
0.108980,1423235,8771480.65
0.109046,1424712,22506666.67
0.109123,1426476,22822838.36
0.109300,1427724,7047502.88
0.109352,1428826,21346246.97
0.109398,1429825,21522750.78
0.109454,1430988,20721603.56
0.109616,1431918,5757016.75
0.109696,1433588,20885965.13
0.109755,1434725,19002573.79
0.109803,1435311,12413150.31
0.109988,1436238,4989450.57
0.110033,1436885,14391209.57
0.110070,1437449,15225959.72
0.110128,1438592,19821038.39
0.110194,1439822,18754574.29
0.110366,1440719,5196234.61
0.110425,1441851,19268085.11
0.110452,1442211,13271889.40
0.110497,1443021,17884347.88
0.110539,1443782,18136752.54
0.110565,1444120,13211898.53
0.110768,1445982,9189389.27
0.110810,1446774,18764215.31
0.110846,1447283,14188153.31
0.110875,1447713,14617398.10
0.110918,1448390,15774634.76
0.110951,1448943,16757575.76
0.111124,1449876,5391785.76
0.111188,1451247,21576280.26
0.111234,1452134,19300230.65
0.111278,1453023,20223389.98
0.111432,1453878,5529506.87
0.111504,1455537,23189499.73
0.111590,1457514,22965940.24
0.111760,1458587,6316409.12
0.111873,1461149,22539721.64
0.111927,1462185,19334129.59
0.112090,1463272,6682404.44
0.112176,1465381,24428382.79
0.112463,1469805,15421350.76
0.112495,1470373,17612403.10
0.112669,1471676,7508312.16
0.112797,1474915,25222517.27
0.112835,1475534,16271489.41
0.112987,1476161,4120499.98
0.113031,1477031,19885714.29
0.113079,1477952,19038759.69
0.113149,1479284,19188383.25
0.113325,1480463,6706789.84
0.113414,1482313,20796330.85
0.113655,1484779,10209404.58
0.113718,1485900,17782078.33
0.113757,1486461,14539705.58
0.113817,1487702,20683333.33
0.113880,1488945,19782598.32
0.114089,1490827,8963697.50
0.114125,1491483,18264331.65
0.114178,1492571,20625592.42
0.114215,1493196,17045299.59
0.114436,1495549,10661145.04
0.114481,1496383,18346605.66
0.114536,1497404,18521541.95
0.114712,1498630,6989060.35
0.114822,1501018,21700805.15
0.115034,1503007,9343511.45
0.115072,1503581,15255813.95
0.115152,1505177,19970969.52
0.115205,1506144,18259408.22
0.115238,1506736,18099547.51
0.115382,1507245,3531656.55
0.115416,1507869,18443531.46
0.115464,1508786,18874526.59
0.115541,1509583,10350649.35
0.115590,1510470,18288659.79
0.115623,1510978,15413556.65
0.115778,1511759,5018473.90
0.115868,1513643,20923569.00
0.115900,1514126,15252952.69
0.116110,1516268,10200000.00
0.116205,1518405,22593673.35
0.116494,1522106,12778593.01
0.116547,1523043,17791364.45
0.116588,1523797,18390243.90
0.116641,1524871,20312056.74
0.116823,1526109,6774281.81
0.116879,1527131,18345330.20
0.116965,1528365,14369723.44
0.117147,1529791,7819054.15
0.117223,1531274,19566967.05
0.117323,1533357,20882205.51
0.117500,1534458,6223257.23
0.117541,1535115,16155605.28
0.117592,1536114,19304347.83
0.117632,1536790,17006289.31
0.117845,1538720,9046889.14
0.117889,1539447,16648727.87
0.117930,1540103,15951367.78
0.117987,1541214,19577092.51
0.118023,1541723,14254508.79
0.118069,1542611,19339242.55
0.118237,1543556,5600000.00
0.118295,1544301,13022654.17
0.118352,1545415,19401919.29
0.118412,1546510,18377725.19
0.118584,1547524,5872575.54
0.118696,1550073,22699949.24
0.118737,1550742,16484328.80
0.118788,1551730,19452265.17
0.118951,1552820,6664954.57
0.119000,1553763,19561068.70
0.119032,1554290,16153256.70
0.119075,1554977,16101436.71
0.119117,1555781,18954664.40
0.119153,1556402,17534447.71
0.119303,1556899,3305972.04
0.119378,1558503,21363024.92
0.119432,1559436,17398601.40
